created_da,created_us,global_id,idpct,idpct_txt,last_edi_1,last_edite,name,name_tmp,num,objectid,shape_area,shape_len,town_no
1899-11-30T00:00:00.000Z,,{60FABB4E-C745-49FE-A945-DC65D9C945CC},7200072,7200072,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,72,106,4270370.52354,10921.7426204,72
1899-11-30T00:00:00.000Z,,{BD670C6C-BDFE-4A2D-8908-17B9C5636D78},7200058,7200058,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,58,107,6459213.08832,12772.4041664,72
1899-11-30T00:00:00.000Z,,{4CDF46DE-68C8-448F-81B6-936AF9B8D893},7200079,7200079,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,79,108,10585607.0104,18338.5976032,72
1899-11-30T00:00:00.000Z,,{3CFFC107-C6A7-4CE9-89F0-6E3147D34A6E},7200036,7200036,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,36,109,3464845.68436,10925.2278368,72
1899-11-30T00:00:00.000Z,,{6DAFFB36-648D-4630-A603-04FA3400F3D2},7200076,7200076,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,76,110,4858801.38248,14339.1020681,72
1899-11-30T00:00:00.000Z,,{792DE86E-E592-4734-B738-F8738C4E8AEF},7200054,7200054,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,54,111,7631133.4361,14066.2460803,72
1899-11-30T00:00:00.000Z,,{9B46492B-2882-4505-AED2-41E8FD328797},7200003,7200003,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,3,112,25324631.4225,35027.219919,72
1899-11-30T00:00:00.000Z,,{3A6BCD0C-BF5D-489C-B8C3-61BB17406381},7200042,7200042,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,42,113,12403642.4814,18707.0604034,72
1899-11-30T00:00:00.000Z,,{51FEC8FD-A9DF-44BF-915E-279EF268C4EF},7200018,7200018,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,18,114,14795469.1329,24824.8301094,72
1899-11-30T00:00:00.000Z,,{B1458A58-73BF-472D-A5D9-6A25FB4E9F28},7200062,7200062,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,62,115,13471730.4157,20175.1762913,72
1899-11-30T00:00:00.000Z,,{7790790F-4083-43FF-9633-9813BA105B95},7200020,7200020,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,20,116,4525533.43203,11479.9197169,72
1899-11-30T00:00:00.000Z,,{EE13C49A-8E3E-4DF7-B196-C05EA13FEC07},7200077,7200077,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,77,117,13179438.6044,16638.6922523,72
1899-11-30T00:00:00.000Z,,{F0FDDB7A-928A-43C9-ABBA-A55965E94B70},7200034,7200034,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,34,118,12348016.4539,16727.1060594,72
1899-11-30T00:00:00.000Z,,{78D2840D-CA67-467E-939A-F448706F08B5},7200067,7200067,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,67,119,8682375.81562,15673.5358375,72
1899-11-30T00:00:00.000Z,,{B8E641CF-9DFC-498F-8136-549F645B2B0E},7200057,7200057,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,57,120,56232600.1141,37332.9104,72
1899-11-30T00:00:00.000Z,,{34E5D606-08EA-4DAE-9BEE-50194C9A3C62},7200022,7200022,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,22,121,6191165.33452,11721.5085658,72
1899-11-30T00:00:00.000Z,,{5FDA0C2F-CE13-48BB-AD6A-B4C2664BEEE7},7200009,7200009,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,9,122,7239089.28297,13535.2633293,72
1899-11-30T00:00:00.000Z,,{07845A9B-272D-44EE-99CF-67864F236879},7200073,7200073,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,73,123,9128199.02628,14727.6816101,72
1899-11-30T00:00:00.000Z,,{48FF2BCD-87CB-400C-AB89-8CF2690F8CBA},7200059,7200059,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,59,124,11072442.3224,18064.0609825,72
1899-11-30T00:00:00.000Z,,{ADD76C77-94A3-42C2-A2EE-0C9BA544FB4A},7200046,7200046,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,46,125,5317355.85769,11772.7822347,72
1899-11-30T00:00:00.000Z,,{15DD9F70-62F5-4986-96AA-C872BDC84225},7200027,7200027,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,27,126,6225531.71978,11336.7520442,72
1899-11-30T00:00:00.000Z,,{C69A6908-FD2D-4D5A-A910-CE9944B5D5F6},7200033,7200033,1899-11-30T00:00:00.000Z,,BREMEN,TOWN OF BREMEN,33,127,4534075.35902,10164.5500651,72
